title,review,rating,date,developerResponse
알아서 관리해주는 스마트한 친구,평소에 투자를 시작하면 금액이 적고 많고를 떠나 늘 폰에서 눈을 못땠었는데 로보어드바이저를 통해 알아서 관리해주고 위험할때면 자동으로 리벨런싱까지 도와주니 편하게 일상생활을 할 수 있게 되었어요!,5,2021-12-22 14:54:57,"안녕하세요, 되지감자님! 쿼터백입니다. 쿼터백 서비스를 통해 일상 생활에 더 집중하시는 변화를 경험하신 것 같아서 정말 보람차고 기쁩니다. 급변하는 시장 속 에서도 마음 편히 투자하실 수 있도록 최선을 다하는 쿼터백이 되겠습니다. 새해 복 많이 받으세요! 쿼터백 팀 드림."
재테크 초보에게 추천해주고 싶은 어플,재테크 초보에게 추천해주고 싶은 어플이에요!! 내가 크게 신경써야할 부분이 없게끔 자동으로 리벨런싱해줘서 좋습니다. 앞으로 더 다양한 테마가 나오고 테마별로 투자 할 수 있게 제한 사항을 풀어주면 더 좋을것 같아용👍👍,5,2021-12-22 12:21:20,"안녕하세요 johy0306님, 쿼터백 입니다. 테마형 투자 서비스에 만족하시고 이렇게 힘이 되는 리뷰를 남겨주시니 정말 감사하고 뿌듯합니다. 쿼터백의 테마형 투자 서비스는 1~2개의 단일 ETF로 구성하기 어려운 ETF 해외주식투자 테마 전략을 정교한 ETF 포트폴리오로 구성하여 누구나 손 쉽게 투자할 수 있도록 만들어진 서비스입니다. 
기존에 제공중인 6개의 테마 포트폴리오 외에도 더 다양한 포트폴리오를 만나실 수 있도록 johy0306님의 소중한 의견은 개발팀에 전달하겠습니다. 추운 겨울 감기 조심하시고 새해 복 많이 받으세요! 힘이 되는 리뷰 감사합니다. 쿼터백 팀 드림. "
꾸준히 투자하기에 좋습니다,"소액으로 장기투자 중인데 밸런스 상품에서 오펜스 상품으로 옮기고 수익률이 20프로 정도입니다
진작에 오펜스로 가입할껄 그랬네요
매월 알아서 진행되는 리밸런싱도 굿입니다
여튼 믿고 맡겨놓으니 수익이 나서 너무 좋네요",5,2021-11-15 07:02:19,"안녕하세요 수익률20프로님, 쿼터백입니다. 쿼터백은 누구나 전문가가 제공하는 양질의 자산관리 서비스를 누릴 수 있도록 믿고 맡기면 알아서 자산을 관리하는 투자일임 수수료를 대폭 낮춘 자산관리 서비스입니다. 또한 다양한 변수에 흔들리는 시장 속, 안정적인 자산 관리를 위해 정기 리밸런싱을 진행하고 있습니다. 아울러 리밸런싱에 참고한 모든 데이터는 공식 블로그와 유튜브를 통해 모두 투명하게 공개하고 있으니 시간이 되시면 둘러봐 주시면 감사하겠습니다. 꾸수익률20프로님께서 쿼터백 자산관리 서비스를 만족하고 사용하시는 모습을 보니 저희도 정말 뿌듯하고 힘이 납니다! 앞으로도 양질의 자산관리 서비스 제공을 위해 전 직원이 최선을 다하겠습니다. 힘이 되는 따뜻한 리뷰 감사드립니다! 쿼터백 팀 드림"
수익률이 좋네요.,"UI가 타사대비 별로인듯 해서 아쉬웠는데,
내용과 수익률은 확실히 차이나게 좋네요. 
투자상품 수익률이 좋으니 불만은 없지만, 
사용자중심으로 UI개선에도 신경써주시면 감사하겠습니다.",5,2021-05-28 19:45:12,"이용해주셔서 감사합니다. 
고객님의 의견을 적극 반영하여 보다 편리한 UI를 제공하도록 노력하겠습니다.
고객님의 편의와 수익을 위해 앞으로도 열심히 노력하겠습니다."
쿼터백 안전추구형으로 진행중입니다,"수익은 그럭저럭 이지만 돈을 조금 넣어서 ㅎ
비트코인 주식 보다 나는 것 같습니다  ㅎ
조금씩 사용해보고 익숙해지면 나중에 한번 제대로 사용해볼 생각입니다",5,2021-12-20 06:42:15,"안녕하세요 정지되었네요ㅜ님, 쿼터백입니다. 쿼터백 서비스를 믿고 선택해 주셔서 감사합니다. 건강한 자산관리에 도움을 드릴 수 있도록 항상 최선을 다하는 쿼터백이 되겠습니다. 추운 겨울 감기 조심하시고 새해 복 많이 받으세요! 힘이 되는 리뷰 감사합니다. 쿼터백 팀 드림."
너무 편하고 좋아요!,투자 초보라서 할줄 몰라 어찌할줄 몰랐는데 쉽게 설명해주니까 이용하기 편한 것 같아요! 바로 등록해봤네요 :) 유용한 어플인 것 같습니다 ㅎㅎ!!,5,2021-09-29 07:04:22,"안녕하세요 양떼장터님, 쿼터백입니다. 투자 초보도 마음 편히 투자할 수 있도록 투자성향에 알맞은 포트폴리오 구성 부터 시장 분석 데이터에 따른 리밸런싱까지 모두 전적으로 도와드리는 모바일 자산관리 서비스 쿼터백을 선택해주셔서 감사드립니다. 앞으로도 만족하며 사용하실 수 있도록 양질의 서비스 제공을 위해 최선을 다하겠습니다, 힘이 되는 따뜻한 리뷰 감사드립니다! :) "
좋아요 기대되요,친구가 알려줘서 깔아봤어요 초보자인데 어플사용도 간편해서 쉬워요 . 주식이나 etf등 쉽게 투자할 수 있어 좋은 것 같아요. 쿼터백 도움받고 부자되야겠어요~,5,2021-09-29 03:36:54,"안녕하세요 나수운이님, 쿼터백입니다. 쿼터백은 초보자도 마음 편히 투자할 수 있도록 인공지능 기술을 활용하여, 자산을 관리하는 서비스입니다. 추천해 주신 친구분에게도 감사하다는 말씀 전해드리고 싶습니다. 앞으로도 양질의 서비스 제공을 위해 최선을 다하겠습니다 힘이 되는 별점 5점 감사드립니다 :)"
주식 입문자에게 추천!,요즘 주식이랑 투자에 대해 관심이 많이 생겨서 이것저것 투자 어플 알아보다가 설치했어요! 주식에 대해 잘 몰라도 알아서 추천해줘서 투자하기 너무 편하네요 어플도 깔끔하고 가독성이 좋아 사용하기 좋습니다,5,2021-09-29 02:31:35,"안녕하세요 1010가나다님, 쿼터백입니다. 쿼터백은 주식에 대해 잘 모르셔도 쿼터백이 빅데이터 분석 및 인공지능 기술을 활용하여 시장을 분석하고, 자산 배분 포트폴리오를 효율적으로 구성하여 자산관리를 도와드리는 서비스입니다, 추천한 지인분께도 정말 감사하다는 인사 전해드리고 싶습니다. 앞으로도 만족하며 사용하실 수 있도록 양질의 서비스 제공을 위해 최선을 다하겠습니다, 힘이 되는 긍정적인 리뷰 감사드립니다!"
주린이에게최고,"저에게 알맞는 상품을 추천해줘서 너무 좋았고 
제가 직접 투자하는것 보다 수익율이 더욱 좋아서 앞으로도 애용할 것 같습니다",5,2021-09-30 06:19:28,"안녕하세요 캉캉맛있쥬님, 쿼터백입니다. 쿼터백은 개인의 투자성향에 알맞은 정교한 포트폴리오를 제공하고, 일임 계약 이후에도 꾸준히 증시를 분석하여 포트폴리오의 재구성(리밸런싱)또한 전적으로 도와드리는 모바일 자산관리 서비스입니다. 앞으로도 캉캉맛있쥬님께서 만족하며 애용하실 수 있도록 양질의 서비스 제공을 위해 최선을 다하겠습니다. 힘이 되는 따뜻한 리뷰 감사드립니다!"
지금같은 시기에 강추입니다!!! 개투보다 나음ㅠㅠ,"개투로 주식 말아먹었는데
제가 직접하는 것 보다 낫네요...
큰 수익은 아니지만 이렇게 차곡차곡 수익 쌓는게 자산관리에 훨씬 도움되는 것 같아요
소액이라도 해보는거 추천",5,2020-05-08 22:50:54,"이용해주셔서 감사합니다. 
고객님의 편의와 수익을 위해 앞으로도 열심히 노력하겠습니다."
주린이에게 딱!,"역시 투자는 어려운 저같은 주린이에게 딱이에요^^
AI가 알아서 해주니까 신경쓸 필요없고 수익률보는 재미도 있고👍👍
가입도 쉽고 UI도 저는 보기편했어요!",5,2021-09-08 03:22:00,"안녕하세요, 꽁베어님! 쿼터백 자산관리 서비스를 믿고 선택해 주셔서 감사드립니다. 

쿼터백 자산관리 서비스는 투자를 잘 모르는 사람도 마음 편히 투자할 수 있도록 데이터에 근거한 객관적인 투자를 도와드리는 서비스입니다. 앞으로도 양질의 서비스 제공을 위해 최선을 다하겠습니다. 따뜻한 응원의 한 마디 감사드립니다."
좋아요,앱구성도 깔끔하고 무엇보다 투자성향을 스스로 진단하고 그에 맞게 투자상품을 추천해줘서 편리하네요. 수익률도 꾸준하고 초보도 가능하다는 점이 좋은것 같아요.,5,2020-10-08 04:35:40,이용해주셔서 감사합니다. 고객님의 편의와 수익을 위해 앞으로도 열심히 노력하겠습니다.
ai가 투자성향에 맞게 알아서 투자해주고 관리해주니 좋네요,"어떻게 보면 사람보다 똑똑해보이네요
안정적으로 수익올리기에 괜찮을것같아요",5,2021-09-03 00:45:13,쿼터백은 빅데이터 및 인공지능 기술을 바탕으로 감정적인 요소에 흔들리지 않는 규칙화 된 투자를 도와드리는 자산관리앱 입니다. 다양한 글로벌 신호를 바탕으로 시장의 국면을 객관적으로 분석한 뒤 고객님의 포트폴리오를 구성하여 안정적인 자산관리를 도와드리고 있습니다. 기대해주신 만큼 만족하실 수 있도록 항상 최선을 다하겠습니다. 응원의 한 마디 감사드립니다!
